series_id,obs_date,value
WDI:NY.GDP.MKTP.KN:ABW,1986-12-31,1676310877.0
WDI:NY.GDP.MKTP.KN:ABW,1987-12-31,1945835371.0
WDI:NY.GDP.MKTP.KN:ABW,1988-12-31,2308707373.0
WDI:NY.GDP.MKTP.KN:ABW,1989-12-31,2588749896.0
WDI:NY.GDP.MKTP.KN:ABW,1990-12-31,2691300679.0
WDI:NY.GDP.MKTP.KN:ABW,1991-12-31,2905605500.0
WDI:NY.GDP.MKTP.KN:ABW,1992-12-31,3076523500.0
WDI:NY.GDP.MKTP.KN:ABW,1993-12-31,3301346400.0
WDI:NY.GDP.MKTP.KN:ABW,1994-12-31,3572185600.0
WDI:NY.GDP.MKTP.KN:ABW,1995-12-31,3663174300.0
WDI:NY.GDP.MKTP.KN:ABW,1996-12-31,3706611800.0
WDI:NY.GDP.MKTP.KN:ABW,1997-12-31,3967812100.0
WDI:NY.GDP.MKTP.KN:ABW,1998-12-31,4046850300.0
WDI:NY.GDP.MKTP.KN:ABW,1999-12-31,4096952000.0
WDI:NY.GDP.MKTP.KN:ABW,2000-12-31,4409259400.0
WDI:NY.GDP.MKTP.KN:ABW,2001-12-31,4593654700.0
WDI:NY.GDP.MKTP.KN:ABW,2002-12-31,4550246800.0
WDI:NY.GDP.MKTP.KN:ABW,2003-12-31,4600777500.0
WDI:NY.GDP.MKTP.KN:ABW,2004-12-31,4936345700.0
WDI:NY.GDP.MKTP.KN:ABW,2005-12-31,4917432700.0
WDI:NY.GDP.MKTP.KN:ABW,2006-12-31,4972872400.0
WDI:NY.GDP.MKTP.KN:ABW,2007-12-31,5126511500.0
WDI:NY.GDP.MKTP.KN:ABW,2008-12-31,5220621700.0
WDI:NY.GDP.MKTP.KN:ABW,2009-12-31,4610971000.0
WDI:NY.GDP.MKTP.KN:ABW,2010-12-31,4484932100.0
WDI:NY.GDP.MKTP.KN:ABW,2011-12-31,4636040100.0
WDI:NY.GDP.MKTP.KN:ABW,2012-12-31,4587788200.0
WDI:NY.GDP.MKTP.KN:ABW,2013-12-31,4882850000.0
WDI:NY.GDP.MKTP.KN:ABW,2014-12-31,4952484257.56912
WDI:NY.GDP.MKTP.KN:ABW,2015-12-31,5131342233.737
WDI:NY.GDP.MKTP.KN:ABW,2016-12-31,5194680206.0702505
