series_id,obs_date,value
WDI:NY.GNP.PCAP.KN:AFG,2020-12-31,35690.145628149694
WDI:NY.GNP.PCAP.KN:AFG,2021-12-31,27319.994169406113
WDI:NY.GNP.PCAP.KN:AFG,2022-12-31,25070.91063954255
WDI:NY.GNP.PCAP.KN:AFG,2023-12-31,25807.4654622846
WDI:NY.GNP.PCAP.KN:AFG,2024-12-31,24825.3040548686
WDI:NY.GNP.PCAP.KN:AGO,2002-12-31,444951.09023403033
WDI:NY.GNP.PCAP.KN:AGO,2003-12-31,448134.31959568773
WDI:NY.GNP.PCAP.KN:AGO,2004-12-31,504616.8085350088
WDI:NY.GNP.PCAP.KN:AGO,2005-12-31,603138.2074240178
WDI:NY.GNP.PCAP.KN:AGO,2006-12-31,681984.4015393754
WDI:NY.GNP.PCAP.KN:AGO,2007-12-31,684173.3127953847
WDI:NY.GNP.PCAP.KN:AGO,2008-12-31,692115.8739983407
WDI:NY.GNP.PCAP.KN:AGO,2009-12-31,577781.3946643545
WDI:NY.GNP.PCAP.KN:AGO,2010-12-31,661085.2049900739
WDI:NY.GNP.PCAP.KN:AGO,2011-12-31,720695.7426117668
WDI:NY.GNP.PCAP.KN:AGO,2012-12-31,729291.3206888902
WDI:NY.GNP.PCAP.KN:AGO,2013-12-31,710969.1597107976
WDI:NY.GNP.PCAP.KN:AGO,2014-12-31,642533.5298136682
WDI:NY.GNP.PCAP.KN:AGO,2015-12-31,536194.4150954772
WDI:NY.GNP.PCAP.KN:AGO,2016-12-31,521856.47856103437
WDI:NY.GNP.PCAP.KN:AGO,2017-12-31,531575.2204422241
WDI:NY.GNP.PCAP.KN:AGO,2018-12-31,560060.4141599438
WDI:NY.GNP.PCAP.KN:AGO,2019-12-31,496775.8155746233
WDI:NY.GNP.PCAP.KN:AGO,2020-12-31,447002.9928872967
WDI:NY.GNP.PCAP.KN:AGO,2021-12-31,511916.6276224895
WDI:NY.GNP.PCAP.KN:AGO,2022-12-31,521093.38416213496
WDI:NY.GNP.PCAP.KN:AGO,2023-12-31,473987.805294913
WDI:NY.GNP.PCAP.KN:AGO,2024-12-31,491679.676479528
WDI:NY.GNP.PCAP.KN:ALB,1995-12-31,198315.8754915898
WDI:NY.GNP.PCAP.KN:ALB,1996-12-31,213953.74976289913
WDI:NY.GNP.PCAP.KN:ALB,1997-12-31,188315.75076262507
WDI:NY.GNP.PCAP.KN:ALB,1998-12-31,207808.58817626702
WDI:NY.GNP.PCAP.KN:ALB,1999-12-31,241999.41979851126
WDI:NY.GNP.PCAP.KN:ALB,2000-12-31,264700.9219091513
WDI:NY.GNP.PCAP.KN:ALB,2001-12-31,292780.2325283896
