series_id,obs_date,value
WDI:NY.TRF.NCTR.KN:ALB,1995-12-31,54456274709.5929
WDI:NY.TRF.NCTR.KN:ALB,1996-12-31,58456694018.5706
WDI:NY.TRF.NCTR.KN:ALB,1997-12-31,33301764831.5475
WDI:NY.TRF.NCTR.KN:ALB,1998-12-31,51832283981.3919
WDI:NY.TRF.NCTR.KN:ALB,1999-12-31,34705771509.4489
WDI:NY.TRF.NCTR.KN:ALB,2000-12-31,47324143210.5667
WDI:NY.TRF.NCTR.KN:ALB,2001-12-31,56915161694.325
WDI:NY.TRF.NCTR.KN:ALB,2002-12-31,60569727906.3641
WDI:NY.TRF.NCTR.KN:ALB,2003-12-31,67237763966.2543
WDI:NY.TRF.NCTR.KN:ALB,2004-12-31,72901029391.6641
WDI:NY.TRF.NCTR.KN:ALB,2005-12-31,80197799207.3023
WDI:NY.TRF.NCTR.KN:ALB,2006-12-31,82997382518.6821
WDI:NY.TRF.NCTR.KN:ALB,2007-12-31,93401717271.099
WDI:NY.TRF.NCTR.KN:ALB,2008-12-31,85011528081.5452
WDI:NY.TRF.NCTR.KN:ALB,2009-12-31,87404533837.3424
WDI:NY.TRF.NCTR.KN:ALB,2010-12-31,91724237963.2797
WDI:NY.TRF.NCTR.KN:ALB,2011-12-31,80151170180.5835
WDI:NY.TRF.NCTR.KN:ALB,2012-12-31,69842541395.906
WDI:NY.TRF.NCTR.KN:ARG,1991-12-31,400683808.0
WDI:NY.TRF.NCTR.KN:ARG,1992-12-31,762695296.0
WDI:NY.TRF.NCTR.KN:ARG,1993-12-31,552200000.0
WDI:NY.TRF.NCTR.KN:ARG,1994-12-31,497200000.0
WDI:NY.TRF.NCTR.KN:ARG,1995-12-31,596800000.0
WDI:NY.TRF.NCTR.KN:ARG,1996-12-31,482200000.0
WDI:NY.TRF.NCTR.KN:ARG,1997-12-31,514857571.842192
WDI:NY.TRF.NCTR.KN:ARG,1998-12-31,464068201.996963
WDI:NY.TRF.NCTR.KN:ARG,1999-12-31,453310064.839601
WDI:NY.TRF.NCTR.KN:ARG,2000-12-31,399035947.950393
WDI:NY.TRF.NCTR.KN:ARG,2001-12-31,424494817.45135
WDI:NY.TRF.NCTR.KN:ARG,2002-12-31,1679647764.66055
WDI:NY.TRF.NCTR.KN:ARG,2003-12-31,1504688655.59218
WDI:NY.TRF.NCTR.KN:ARG,2004-12-31,1725839176.72528
WDI:NY.TRF.NCTR.KN:ARG,2005-12-31,1638500000.0
WDI:NY.TRF.NCTR.KN:ARG,2006-12-31,1903313993.72825
WDI:NY.TRF.NCTR.KN:ARM,1993-12-31,242800275483.561
WDI:NY.TRF.NCTR.KN:ARM,1994-12-31,113852098252.985
WDI:NY.TRF.NCTR.KN:ARM,1995-12-31,80403509039.4012
WDI:NY.TRF.NCTR.KN:ARM,1996-12-31,76424395007.154
WDI:NY.TRF.NCTR.KN:ARM,1997-12-31,91362517950.2142
WDI:NY.TRF.NCTR.KN:ARM,1998-12-31,68914148352.1761
WDI:NY.TRF.NCTR.KN:ARM,1999-12-31,71825625421.8883
WDI:NY.TRF.NCTR.KN:ARM,2000-12-31,72088370270.8113
WDI:NY.TRF.NCTR.KN:ARM,2001-12-31,73191753664.9588
WDI:NY.TRF.NCTR.KN:ARM,2002-12-31,73908047246.7718
WDI:NY.TRF.NCTR.KN:ARM,2003-12-31,90475640268.1698
WDI:NY.TRF.NCTR.KN:ARM,2004-12-31,153602616447.587
WDI:NY.TRF.NCTR.KN:ARM,2005-12-31,156525436828.124
WDI:NY.TRF.NCTR.KN:ARM,2006-12-31,180773130772.358
WDI:NY.TRF.NCTR.KN:ARM,2007-12-31,193686546146.698
WDI:NY.TRF.NCTR.KN:ARM,2008-12-31,194955568043.854
WDI:NY.TRF.NCTR.KN:ARM,2009-12-31,154603189772.089
WDI:NY.TRF.NCTR.KN:ARM,2010-12-31,104407690110.799
WDI:NY.TRF.NCTR.KN:ARM,2011-12-31,123697864871.48
WDI:NY.TRF.NCTR.KN:ARM,2012-12-31,128649318689.257
WDI:NY.TRF.NCTR.KN:ARM,2013-12-31,126453517855.243
WDI:NY.TRF.NCTR.KN:AUT,1960-12-31,-422566355.227419
WDI:NY.TRF.NCTR.KN:AUT,1961-12-31,-445965413.10723
WDI:NY.TRF.NCTR.KN:AUT,1962-12-31,-457778328.536794
WDI:NY.TRF.NCTR.KN:AUT,1963-12-31,-476721443.779609
WDI:NY.TRF.NCTR.KN:AUT,1964-12-31,-505914378.195678
WDI:NY.TRF.NCTR.KN:AUT,1965-12-31,-523517487.227675
WDI:NY.TRF.NCTR.KN:AUT,1966-12-31,-541656140.430473
WDI:NY.TRF.NCTR.KN:AUT,1967-12-31,-643211438.123914
WDI:NY.TRF.NCTR.KN:AUT,1968-12-31,-802433937.463264
WDI:NY.TRF.NCTR.KN:AUT,1969-12-31,-756120367.309739
WDI:NY.TRF.NCTR.KN:AUT,1970-12-31,-704734772.628059
WDI:NY.TRF.NCTR.KN:AUT,1971-12-31,-668018228.474176
WDI:NY.TRF.NCTR.KN:AUT,1972-12-31,-828941628.720335
WDI:NY.TRF.NCTR.KN:AUT,1973-12-31,-936392574.764055
WDI:NY.TRF.NCTR.KN:AUT,1974-12-31,-805826192.804979
WDI:NY.TRF.NCTR.KN:AUT,1975-12-31,-885372199.767741
WDI:NY.TRF.NCTR.KN:AUT,1976-12-31,-1105130584.48121
WDI:NY.TRF.NCTR.KN:AUT,1977-12-31,-1267136206.28784
WDI:NY.TRF.NCTR.KN:AUT,1978-12-31,-1339942218.88896
WDI:NY.TRF.NCTR.KN:AUT,1979-12-31,-1361129899.23436
WDI:NY.TRF.NCTR.KN:AUT,1980-12-31,-1486426411.27971
WDI:NY.TRF.NCTR.KN:AUT,1981-12-31,-1786794307.34883
WDI:NY.TRF.NCTR.KN:AUT,1982-12-31,-1618845699.09679
WDI:NY.TRF.NCTR.KN:AUT,1983-12-31,-1353557013.16776
WDI:NY.TRF.NCTR.KN:AUT,1984-12-31,-1493883899.49261
WDI:NY.TRF.NCTR.KN:AUT,1985-12-31,-1496895402.75652
WDI:NY.TRF.NCTR.KN:AUT,1986-12-31,-1980807266.17641
WDI:NY.TRF.NCTR.KN:AUT,1987-12-31,-1981993867.74859
WDI:NY.TRF.NCTR.KN:AUT,1988-12-31,-1447133330.09111
WDI:NY.TRF.NCTR.KN:AUT,1989-12-31,-1338023640.98371
WDI:NY.TRF.NCTR.KN:AUT,1990-12-31,-1263245932.76238
WDI:NY.TRF.NCTR.KN:AUT,1991-12-31,-2243682055.12101
WDI:NY.TRF.NCTR.KN:AUT,1992-12-31,-1708164373.14402
WDI:NY.TRF.NCTR.KN:AUT,1993-12-31,-1663159818.27297
WDI:NY.TRF.NCTR.KN:AUT,1994-12-31,-1930713759.01082
WDI:NY.TRF.NCTR.KN:AUT,1995-12-31,-3012019454.92224
WDI:NY.TRF.NCTR.KN:AUT,1996-12-31,-1271289385.46141
WDI:NY.TRF.NCTR.KN:AUT,1997-12-31,-2346158903.68093
WDI:NY.TRF.NCTR.KN:AUT,1998-12-31,-2831382815.4618
WDI:NY.TRF.NCTR.KN:AUT,1999-12-31,-3856729487.12421
WDI:NY.TRF.NCTR.KN:AUT,2000-12-31,-3809310942.37942
WDI:NY.TRF.NCTR.KN:AUT,2001-12-31,-4831146076.54282
WDI:NY.TRF.NCTR.KN:AUT,2002-12-31,-2865343448.79787
WDI:NY.TRF.NCTR.KN:AUT,2003-12-31,-2252237488.93878
WDI:NY.TRF.NCTR.KN:AUT,2004-12-31,-1784727530.69439
WDI:NY.TRF.NCTR.KN:AUT,2005-12-31,-2380296000.0
WDI:NY.TRF.NCTR.KN:AUT,2006-12-31,-2734203701.36581
WDI:NY.TRF.NCTR.KN:AUT,2007-12-31,-3178102785.77323
WDI:NY.TRF.NCTR.KN:AUT,2008-12-31,-622331574.740435
WDI:NY.TRF.NCTR.KN:AUT,2009-12-31,-2475298233.56764
WDI:NY.TRF.NCTR.KN:AUT,2010-12-31,190510539.379729
WDI:NY.TRF.NCTR.KN:AUT,2011-12-31,-1826967142.10201
WDI:NY.TRF.NCTR.KN:AUT,2012-12-31,-1675585581.67815
WDI:NY.TRF.NCTR.KN:AUT,2013-12-31,-1896495483.21568
WDI:NY.TRF.NCTR.KN:AZE,1994-12-31,75478527.6948377
WDI:NY.TRF.NCTR.KN:AZE,1995-12-31,112887487.432224
WDI:NY.TRF.NCTR.KN:AZE,1996-12-31,64252622.6243104
WDI:NY.TRF.NCTR.KN:AZE,1997-12-31,38108018.164762
WDI:NY.TRF.NCTR.KN:AZE,1998-12-31,51468692.0947621
WDI:NY.TRF.NCTR.KN:AZE,1999-12-31,68725451.0033922
WDI:NY.TRF.NCTR.KN:AZE,2000-12-31,64631592.9772972
WDI:NY.TRF.NCTR.KN:AZE,2001-12-31,66483325.6761035
WDI:NY.TRF.NCTR.KN:AZE,2002-12-31,63348928.9543419
WDI:NY.TRF.NCTR.KN:AZE,2003-12-31,118166736.817218
WDI:NY.TRF.NCTR.KN:AZE,2004-12-31,162787256.544116
WDI:NY.TRF.NCTR.KN:AZE,2005-12-31,412634152.167341
WDI:NY.TRF.NCTR.KN:AZE,2006-12-31,468397500.62077
WDI:NY.TRF.NCTR.KN:AZE,2007-12-31,674074983.967179
WDI:NY.TRF.NCTR.KN:AZE,2008-12-31,939974961.3375
WDI:NY.TRF.NCTR.KN:AZE,2009-12-31,645791298.79825
WDI:NY.TRF.NCTR.KN:AZE,2010-12-31,455586074.57825
WDI:NY.TRF.NCTR.KN:AZE,2011-12-31,602528021.69725
WDI:NY.TRF.NCTR.KN:AZE,2012-12-31,615783638.17459
WDI:NY.TRF.NCTR.KN:BDI,1997-12-31,50016828840.7171
WDI:NY.TRF.NCTR.KN:BDI,1998-12-31,55398512397.1075
WDI:NY.TRF.NCTR.KN:BDI,1999-12-31,40072436176.6223
WDI:NY.TRF.NCTR.KN:BDI,2000-12-31,37830466690.524
WDI:NY.TRF.NCTR.KN:BDI,2001-12-31,89607486177.9512
WDI:NY.TRF.NCTR.KN:BDI,2002-12-31,124142392512.946
WDI:NY.TRF.NCTR.KN:BDI,2003-12-31,145671580898.011
WDI:NY.TRF.NCTR.KN:BDI,2004-12-31,159312813742.068
WDI:NY.TRF.NCTR.KN:BDI,2005-12-31,260552622000.0
WDI:NY.TRF.NCTR.KN:BDI,2006-12-31,208966304855.164
WDI:NY.TRF.NCTR.KN:BDI,2007-12-31,235378918202.037
WDI:NY.TRF.NCTR.KN:BDI,2008-12-31,274916741859.832
WDI:NY.TRF.NCTR.KN:BDI,2009-12-31,199544603209.657
WDI:NY.TRF.NCTR.KN:BDI,2010-12-31,377621090498.302
WDI:NY.TRF.NCTR.KN:BDI,2011-12-31,323073984994.003
WDI:NY.TRF.NCTR.KN:BDI,2012-12-31,298174800064.353
WDI:NY.TRF.NCTR.KN:BEL,1960-12-31,1050225546.92435
WDI:NY.TRF.NCTR.KN:BEL,1961-12-31,878241736.708696
WDI:NY.TRF.NCTR.KN:BEL,1962-12-31,765748580.494778
WDI:NY.TRF.NCTR.KN:BEL,1963-12-31,648393157.046409
WDI:NY.TRF.NCTR.KN:BEL,1964-12-31,610435774.801988
WDI:NY.TRF.NCTR.KN:BEL,1965-12-31,786500439.785903
WDI:NY.TRF.NCTR.KN:BEL,1966-12-31,836348292.745955
WDI:NY.TRF.NCTR.KN:BEL,1967-12-31,899064331.338398
WDI:NY.TRF.NCTR.KN:BEL,1968-12-31,972768741.757801
WDI:NY.TRF.NCTR.KN:BEL,1969-12-31,988070654.752493
WDI:NY.TRF.NCTR.KN:BEL,1970-12-31,1104746998.16093
WDI:NY.TRF.NCTR.KN:BEL,1971-12-31,964147166.361918
WDI:NY.TRF.NCTR.KN:BEL,1972-12-31,1058343755.34873
WDI:NY.TRF.NCTR.KN:BEL,1973-12-31,866793691.96635
WDI:NY.TRF.NCTR.KN:BEL,1974-12-31,886287158.74603
WDI:NY.TRF.NCTR.KN:BEL,1975-12-31,855330838.333914
WDI:NY.TRF.NCTR.KN:BEL,1976-12-31,952704112.486496
WDI:NY.TRF.NCTR.KN:BEL,1977-12-31,499916350.983876
WDI:NY.TRF.NCTR.KN:BEL,1978-12-31,314613670.435196
WDI:NY.TRF.NCTR.KN:BEL,1979-12-31,-493453489.961113
WDI:NY.TRF.NCTR.KN:BEL,1980-12-31,-994966079.402718
WDI:NY.TRF.NCTR.KN:BEL,1981-12-31,-845359307.162294
WDI:NY.TRF.NCTR.KN:BEL,1982-12-31,-1718717389.22802
WDI:NY.TRF.NCTR.KN:BEL,1983-12-31,-1818406357.06609
WDI:NY.TRF.NCTR.KN:BEL,1984-12-31,-1458426333.62876
WDI:NY.TRF.NCTR.KN:BEL,1985-12-31,-915767012.379685
WDI:NY.TRF.NCTR.KN:BEL,1986-12-31,-767358420.540626
WDI:NY.TRF.NCTR.KN:BEL,1987-12-31,-165889473.810417
WDI:NY.TRF.NCTR.KN:BEL,1988-12-31,-210075077.953824
WDI:NY.TRF.NCTR.KN:BEL,1989-12-31,-874145413.262723
WDI:NY.TRF.NCTR.KN:BEL,1990-12-31,-628571438.875949
WDI:NY.TRF.NCTR.KN:BEL,1991-12-31,227078690.315702
WDI:NY.TRF.NCTR.KN:BEL,1992-12-31,173236665.1329
WDI:NY.TRF.NCTR.KN:BEL,1993-12-31,2440648836.69505
WDI:NY.TRF.NCTR.KN:BEL,1994-12-31,4380780289.64582
WDI:NY.TRF.NCTR.KN:BEL,1995-12-31,3870977018.06178
WDI:NY.TRF.NCTR.KN:BEL,1996-12-31,4570761653.67304
WDI:NY.TRF.NCTR.KN:BEL,1997-12-31,5019472898.71118
WDI:NY.TRF.NCTR.KN:BEL,1998-12-31,4592318976.95184
WDI:NY.TRF.NCTR.KN:BEL,1999-12-31,5250378595.69602
WDI:NY.TRF.NCTR.KN:BEL,2000-12-31,6403994063.03772
WDI:NY.TRF.NCTR.KN:BEL,2001-12-31,4528364579.97018
WDI:NY.TRF.NCTR.KN:BEL,2002-12-31,3878369740.70181
WDI:NY.TRF.NCTR.KN:BEL,2003-12-31,4393738532.79196
WDI:NY.TRF.NCTR.KN:BEL,2004-12-31,3294514797.56386
WDI:NY.TRF.NCTR.KN:BEL,2005-12-31,1988000000.0
WDI:NY.TRF.NCTR.KN:BEL,2006-12-31,2662583872.50707
WDI:NY.TRF.NCTR.KN:BEL,2007-12-31,3212574058.9006
WDI:NY.TRF.NCTR.KN:BEL,2008-12-31,4641350003.95097
WDI:NY.TRF.NCTR.KN:BEL,2009-12-31,-1967937333.60011
WDI:NY.TRF.NCTR.KN:BEL,2010-12-31,5622157913.28774
WDI:NY.TRF.NCTR.KN:BEL,2011-12-31,3050177564.79229
WDI:NY.TRF.NCTR.KN:BEL,2012-12-31,865154575.123387
WDI:NY.TRF.NCTR.KN:BEL,2013-12-31,-456515047.684614
WDI:NY.TRF.NCTR.KN:BEN,1985-12-31,27899228692.7927
WDI:NY.TRF.NCTR.KN:BEN,1986-12-31,27920266754.172
WDI:NY.TRF.NCTR.KN:BEN,1987-12-31,23739908577.5426
WDI:NY.TRF.NCTR.KN:BEN,1988-12-31,24003438368.9767
WDI:NY.TRF.NCTR.KN:BEN,1989-12-31,28632129169.8237
WDI:NY.TRF.NCTR.KN:BEN,1990-12-31,47311954988.7
WDI:NY.TRF.NCTR.KN:BEN,1991-12-31,27959503524.8238
WDI:NY.TRF.NCTR.KN:BEN,1992-12-31,37428692941.4211
WDI:NY.TRF.NCTR.KN:BEN,1993-12-31,40123615920.0746
WDI:NY.TRF.NCTR.KN:BEN,1994-12-31,19850500078.4109
WDI:NY.TRF.NCTR.KN:BEN,1995-12-31,20797144352.363
WDI:NY.TRF.NCTR.KN:BEN,1996-12-31,19651078434.5625
WDI:NY.TRF.NCTR.KN:BEN,1997-12-31,44669655631.0773
WDI:NY.TRF.NCTR.KN:BEN,1998-12-31,35580347672.3839
WDI:NY.TRF.NCTR.KN:BEN,1999-12-31,41617908088.1999
WDI:NY.TRF.NCTR.KN:BEN,2000-12-31,53436330314.2219
WDI:NY.TRF.NCTR.KN:BEN,2001-12-31,56747567197.1029
WDI:NY.TRF.NCTR.KN:BEN,2002-12-31,54432701564.9811
WDI:NY.TRF.NCTR.KN:BEN,2003-12-31,40713238119.2325
WDI:NY.TRF.NCTR.KN:BEN,2004-12-31,44598905833.0333
WDI:NY.TRF.NCTR.KN:BEN,2005-12-31,44706325978.8195
WDI:NY.TRF.NCTR.KN:BEN,2006-12-31,60585958183.8493
WDI:NY.TRF.NCTR.KN:BEN,2007-12-31,56082428908.2975
WDI:NY.TRF.NCTR.KN:BEN,2008-12-31,56870686502.3473
WDI:NY.TRF.NCTR.KN:BEN,2009-12-31,52677449937.3535
