series_id,obs_date,value
WDI:SH.DTH.NMRT:AFE,1990-12-31,574010.0
WDI:SH.DTH.NMRT:AFE,1991-12-31,578978.0
WDI:SH.DTH.NMRT:AFE,1992-12-31,583188.0
WDI:SH.DTH.NMRT:AFE,1993-12-31,588386.0
WDI:SH.DTH.NMRT:AFE,1994-12-31,590266.0
WDI:SH.DTH.NMRT:AFE,1995-12-31,597532.0
WDI:SH.DTH.NMRT:AFE,1996-12-31,603017.0
WDI:SH.DTH.NMRT:AFE,1997-12-31,603021.0
WDI:SH.DTH.NMRT:AFE,1998-12-31,602067.0
WDI:SH.DTH.NMRT:AFE,1999-12-31,599844.0
WDI:SH.DTH.NMRT:AFE,2000-12-31,596423.0
WDI:SH.DTH.NMRT:AFE,2001-12-31,594146.0
WDI:SH.DTH.NMRT:AFE,2002-12-31,589600.0
WDI:SH.DTH.NMRT:AFE,2003-12-31,585767.0
WDI:SH.DTH.NMRT:AFE,2004-12-31,584403.0
WDI:SH.DTH.NMRT:AFE,2005-12-31,581776.0
WDI:SH.DTH.NMRT:AFE,2006-12-31,578865.0
WDI:SH.DTH.NMRT:AFE,2007-12-31,575921.0
WDI:SH.DTH.NMRT:AFE,2008-12-31,573852.0
WDI:SH.DTH.NMRT:AFE,2009-12-31,569170.0
WDI:SH.DTH.NMRT:AFE,2010-12-31,564675.0
WDI:SH.DTH.NMRT:AFE,2011-12-31,560992.0
WDI:SH.DTH.NMRT:AFE,2012-12-31,553001.0
WDI:SH.DTH.NMRT:AFE,2013-12-31,548798.0
WDI:SH.DTH.NMRT:AFE,2014-12-31,548752.0
WDI:SH.DTH.NMRT:AFE,2015-12-31,548829.0
WDI:SH.DTH.NMRT:AFE,2016-12-31,550818.0
WDI:SH.DTH.NMRT:AFE,2017-12-31,554837.0
WDI:SH.DTH.NMRT:AFE,2018-12-31,558708.0
WDI:SH.DTH.NMRT:AFE,2019-12-31,563977.0
WDI:SH.DTH.NMRT:AFE,2020-12-31,568155.0
WDI:SH.DTH.NMRT:AFE,2021-12-31,572901.0
WDI:SH.DTH.NMRT:AFE,2022-12-31,575213.0
WDI:SH.DTH.NMRT:AFE,2023-12-31,574479.0
WDI:SH.DTH.NMRT:AFE,2024-12-31,573125.0
WDI:SH.DTH.NMRT:AFG,1988-12-31,46905.0
WDI:SH.DTH.NMRT:AFG,1989-12-31,47332.0
WDI:SH.DTH.NMRT:AFG,1990-12-31,48171.0
WDI:SH.DTH.NMRT:AFG,1991-12-31,47455.0
WDI:SH.DTH.NMRT:AFG,1992-12-31,48474.0
WDI:SH.DTH.NMRT:AFG,1993-12-31,53874.0
WDI:SH.DTH.NMRT:AFG,1994-12-31,59227.0
WDI:SH.DTH.NMRT:AFG,1995-12-31,61381.0
WDI:SH.DTH.NMRT:AFG,1996-12-31,62470.0
WDI:SH.DTH.NMRT:AFG,1997-12-31,63274.0
WDI:SH.DTH.NMRT:AFG,1998-12-31,63685.0
WDI:SH.DTH.NMRT:AFG,1999-12-31,64152.0
WDI:SH.DTH.NMRT:AFG,2000-12-31,64358.0
WDI:SH.DTH.NMRT:AFG,2001-12-31,61286.0
WDI:SH.DTH.NMRT:AFG,2002-12-31,60414.0
WDI:SH.DTH.NMRT:AFG,2003-12-31,62166.0
WDI:SH.DTH.NMRT:AFG,2004-12-31,62167.0
WDI:SH.DTH.NMRT:AFG,2005-12-31,60722.0
WDI:SH.DTH.NMRT:AFG,2006-12-31,60370.0
WDI:SH.DTH.NMRT:AFG,2007-12-31,59501.0
WDI:SH.DTH.NMRT:AFG,2008-12-31,57329.0
WDI:SH.DTH.NMRT:AFG,2009-12-31,57170.0
WDI:SH.DTH.NMRT:AFG,2010-12-31,56581.0
WDI:SH.DTH.NMRT:AFG,2011-12-31,55900.0
WDI:SH.DTH.NMRT:AFG,2012-12-31,56111.0
WDI:SH.DTH.NMRT:AFG,2013-12-31,55859.0
WDI:SH.DTH.NMRT:AFG,2014-12-31,55455.0
WDI:SH.DTH.NMRT:AFG,2015-12-31,55262.0
WDI:SH.DTH.NMRT:AFG,2016-12-31,54314.0
WDI:SH.DTH.NMRT:AFG,2017-12-31,53664.0
WDI:SH.DTH.NMRT:AFG,2018-12-31,53004.0
WDI:SH.DTH.NMRT:AFG,2019-12-31,52593.0
WDI:SH.DTH.NMRT:AFG,2020-12-31,52124.0
WDI:SH.DTH.NMRT:AFG,2021-12-31,51716.0
WDI:SH.DTH.NMRT:AFG,2022-12-31,50754.0
WDI:SH.DTH.NMRT:AFG,2023-12-31,49779.0
WDI:SH.DTH.NMRT:AFG,2024-12-31,49429.0
WDI:SH.DTH.NMRT:AFW,1990-12-31,463554.0
WDI:SH.DTH.NMRT:AFW,1991-12-31,469462.0
WDI:SH.DTH.NMRT:AFW,1992-12-31,477475.0
WDI:SH.DTH.NMRT:AFW,1993-12-31,485279.0
WDI:SH.DTH.NMRT:AFW,1994-12-31,491670.0
WDI:SH.DTH.NMRT:AFW,1995-12-31,498743.0
WDI:SH.DTH.NMRT:AFW,1996-12-31,504515.0
WDI:SH.DTH.NMRT:AFW,1997-12-31,507915.0
WDI:SH.DTH.NMRT:AFW,1998-12-31,510332.0
WDI:SH.DTH.NMRT:AFW,1999-12-31,514186.0
WDI:SH.DTH.NMRT:AFW,2000-12-31,517083.0
WDI:SH.DTH.NMRT:AFW,2001-12-31,516220.0
WDI:SH.DTH.NMRT:AFW,2002-12-31,514346.0
WDI:SH.DTH.NMRT:AFW,2003-12-31,513091.0
WDI:SH.DTH.NMRT:AFW,2004-12-31,512381.0
WDI:SH.DTH.NMRT:AFW,2005-12-31,514625.0
WDI:SH.DTH.NMRT:AFW,2006-12-31,516869.0
WDI:SH.DTH.NMRT:AFW,2007-12-31,519269.0
WDI:SH.DTH.NMRT:AFW,2008-12-31,523913.0
WDI:SH.DTH.NMRT:AFW,2009-12-31,529838.0
WDI:SH.DTH.NMRT:AFW,2010-12-31,534084.0
WDI:SH.DTH.NMRT:AFW,2011-12-31,539225.0
WDI:SH.DTH.NMRT:AFW,2012-12-31,543011.0
WDI:SH.DTH.NMRT:AFW,2013-12-31,545908.0
WDI:SH.DTH.NMRT:AFW,2014-12-31,549851.0
WDI:SH.DTH.NMRT:AFW,2015-12-31,551280.0
WDI:SH.DTH.NMRT:AFW,2016-12-31,550370.0
WDI:SH.DTH.NMRT:AFW,2017-12-31,549122.0
WDI:SH.DTH.NMRT:AFW,2018-12-31,546444.0
WDI:SH.DTH.NMRT:AFW,2019-12-31,543772.0
WDI:SH.DTH.NMRT:AFW,2020-12-31,540815.0
WDI:SH.DTH.NMRT:AFW,2021-12-31,544840.0
WDI:SH.DTH.NMRT:AFW,2022-12-31,548449.0
WDI:SH.DTH.NMRT:AFW,2023-12-31,549655.0
WDI:SH.DTH.NMRT:AFW,2024-12-31,550118.0
WDI:SH.DTH.NMRT:AGO,1990-12-31,26743.0
WDI:SH.DTH.NMRT:AGO,1991-12-31,27467.0
WDI:SH.DTH.NMRT:AGO,1992-12-31,28057.0
WDI:SH.DTH.NMRT:AGO,1993-12-31,28640.0
WDI:SH.DTH.NMRT:AGO,1994-12-31,29163.0
WDI:SH.DTH.NMRT:AGO,1995-12-31,29662.0
WDI:SH.DTH.NMRT:AGO,1996-12-31,29945.0
WDI:SH.DTH.NMRT:AGO,1997-12-31,29957.0
WDI:SH.DTH.NMRT:AGO,1998-12-31,29777.0
WDI:SH.DTH.NMRT:AGO,1999-12-31,29628.0
WDI:SH.DTH.NMRT:AGO,2000-12-31,29667.0
WDI:SH.DTH.NMRT:AGO,2001-12-31,29775.0
WDI:SH.DTH.NMRT:AGO,2002-12-31,29884.0
WDI:SH.DTH.NMRT:AGO,2003-12-31,29922.0
WDI:SH.DTH.NMRT:AGO,2004-12-31,29803.0
WDI:SH.DTH.NMRT:AGO,2005-12-31,29487.0
WDI:SH.DTH.NMRT:AGO,2006-12-31,28978.0
WDI:SH.DTH.NMRT:AGO,2007-12-31,28505.0
WDI:SH.DTH.NMRT:AGO,2008-12-31,28107.0
WDI:SH.DTH.NMRT:AGO,2009-12-31,27632.0
