series_id,obs_date,value
WDI:SH.STA.DIAB.ZS:ABW,2000-12-31,12.1
WDI:SH.STA.DIAB.ZS:ABW,2011-12-31,12.4
WDI:SH.STA.DIAB.ZS:ABW,2024-12-31,4.6
WDI:SH.STA.DIAB.ZS:AFE,2011-12-31,4.5890512280302405
WDI:SH.STA.DIAB.ZS:AFE,2024-12-31,6.454044089920173
WDI:SH.STA.DIAB.ZS:AFG,2011-12-31,7.6
WDI:SH.STA.DIAB.ZS:AFG,2024-12-31,11.7
WDI:SH.STA.DIAB.ZS:AFW,2011-12-31,4.413831597359538
WDI:SH.STA.DIAB.ZS:AFW,2024-12-31,4.219277388416604
WDI:SH.STA.DIAB.ZS:AGO,2011-12-31,2.9
WDI:SH.STA.DIAB.ZS:AGO,2024-12-31,4.9
WDI:SH.STA.DIAB.ZS:ALB,2011-12-31,2.8
WDI:SH.STA.DIAB.ZS:ALB,2024-12-31,10.6
WDI:SH.STA.DIAB.ZS:AND,2011-12-31,5.4
WDI:SH.STA.DIAB.ZS:AND,2024-12-31,10.1
WDI:SH.STA.DIAB.ZS:ARB,2011-12-31,11.944544741572393
WDI:SH.STA.DIAB.ZS:ARB,2024-12-31,17.2973017268651
WDI:SH.STA.DIAB.ZS:ARE,2011-12-31,18.8
WDI:SH.STA.DIAB.ZS:ARE,2024-12-31,20.7
WDI:SH.STA.DIAB.ZS:ARG,2011-12-31,5.5
WDI:SH.STA.DIAB.ZS:ARG,2024-12-31,14.0
WDI:SH.STA.DIAB.ZS:ARM,2011-12-31,8.5
WDI:SH.STA.DIAB.ZS:ARM,2024-12-31,7.7
WDI:SH.STA.DIAB.ZS:ATG,2011-12-31,12.5
WDI:SH.STA.DIAB.ZS:ATG,2024-12-31,11.6
WDI:SH.STA.DIAB.ZS:AUS,2000-12-31,0.0
WDI:SH.STA.DIAB.ZS:AUS,2011-12-31,6.6
WDI:SH.STA.DIAB.ZS:AUS,2024-12-31,7.4
WDI:SH.STA.DIAB.ZS:AUT,2011-12-31,6.6
WDI:SH.STA.DIAB.ZS:AUT,2024-12-31,5.4
WDI:SH.STA.DIAB.ZS:AZE,2011-12-31,2.8
WDI:SH.STA.DIAB.ZS:AZE,2024-12-31,10.2
WDI:SH.STA.DIAB.ZS:BDI,2011-12-31,2.7
WDI:SH.STA.DIAB.ZS:BDI,2024-12-31,4.3
WDI:SH.STA.DIAB.ZS:BEL,2011-12-31,4.8
WDI:SH.STA.DIAB.ZS:BEL,2024-12-31,5.9
WDI:SH.STA.DIAB.ZS:BEN,2011-12-31,2.0
WDI:SH.STA.DIAB.ZS:BEN,2024-12-31,8.1
WDI:SH.STA.DIAB.ZS:BFA,2011-12-31,3.0
WDI:SH.STA.DIAB.ZS:BFA,2024-12-31,4.5
WDI:SH.STA.DIAB.ZS:BGD,2011-12-31,10.5
WDI:SH.STA.DIAB.ZS:BGD,2024-12-31,13.2
WDI:SH.STA.DIAB.ZS:BGR,2011-12-31,6.7
WDI:SH.STA.DIAB.ZS:BGR,2024-12-31,7.4
WDI:SH.STA.DIAB.ZS:BHR,2000-12-31,14.8
WDI:SH.STA.DIAB.ZS:BHR,2011-12-31,19.5
WDI:SH.STA.DIAB.ZS:BHR,2024-12-31,22.1
WDI:SH.STA.DIAB.ZS:BHS,2011-12-31,12.1
WDI:SH.STA.DIAB.ZS:BHS,2024-12-31,8.9
WDI:SH.STA.DIAB.ZS:BIH,2011-12-31,7.5
WDI:SH.STA.DIAB.ZS:BIH,2024-12-31,10.3
WDI:SH.STA.DIAB.ZS:BLR,2011-12-31,8.0
WDI:SH.STA.DIAB.ZS:BLR,2024-12-31,5.1
WDI:SH.STA.DIAB.ZS:BLZ,2011-12-31,17.0
WDI:SH.STA.DIAB.ZS:BLZ,2024-12-31,14.1
WDI:SH.STA.DIAB.ZS:BMU,2000-12-31,12.1
