series_id,obs_date,value
WDI:SH.STA.ORTH:AFE,1986-12-31,14.202093720139372
WDI:SH.STA.ORTH:AFE,1987-12-31,19.716280617405424
WDI:SH.STA.ORTH:AFE,1989-12-31,37.29541860920012
WDI:SH.STA.ORTH:AFG,1986-12-31,26.0
WDI:SH.STA.ORTH:AFG,1987-12-31,11.0
WDI:SH.STA.ORTH:AFG,1989-12-31,11.0
WDI:SH.STA.ORTH:AFG,1997-12-31,33.0
WDI:SH.STA.ORTH:AFG,2003-12-31,29.5
WDI:SH.STA.ORTH:AFG,2011-12-31,53.3
WDI:SH.STA.ORTH:AFG,2015-12-31,46.2
WDI:SH.STA.ORTH:AFG,2018-12-31,39.9
WDI:SH.STA.ORTH:AFW,1986-12-31,10.903878566240966
WDI:SH.STA.ORTH:AFW,1987-12-31,17.534267759560343
WDI:SH.STA.ORTH:AFW,1989-12-31,35.15864064226445
WDI:SH.STA.ORTH:AFW,1999-12-31,31.422232630489972
WDI:SH.STA.ORTH:AFW,2018-12-31,37.035595859638526
WDI:SH.STA.ORTH:AGO,1986-12-31,5.0
WDI:SH.STA.ORTH:AGO,1987-12-31,12.0
WDI:SH.STA.ORTH:AGO,1989-12-31,12.0
WDI:SH.STA.ORTH:AGO,1996-12-31,34.900001525878906
WDI:SH.STA.ORTH:AGO,2016-12-31,42.6
WDI:SH.STA.ORTH:ALB,2000-12-31,23.5
WDI:SH.STA.ORTH:ALB,2005-12-31,51.8
WDI:SH.STA.ORTH:ALB,2009-12-31,54.3
WDI:SH.STA.ORTH:ALB,2018-12-31,34.5
WDI:SH.STA.ORTH:ARB,1986-12-31,25.877889754676808
WDI:SH.STA.ORTH:ARB,1987-12-31,42.1357472731969
WDI:SH.STA.ORTH:ARB,1989-12-31,47.50827260181086
WDI:SH.STA.ORTH:ARE,1986-12-31,9.0
WDI:SH.STA.ORTH:ARE,1987-12-31,13.0
WDI:SH.STA.ORTH:ARE,1989-12-31,24.0
WDI:SH.STA.ORTH:ARE,1995-12-31,39.900001525878906
WDI:SH.STA.ORTH:ARG,1986-12-31,3.0
WDI:SH.STA.ORTH:ARG,1987-12-31,3.0
WDI:SH.STA.ORTH:ARG,1989-12-31,70.0
WDI:SH.STA.ORTH:ARG,2012-12-31,17.5
WDI:SH.STA.ORTH:ARG,2020-12-31,15.4
WDI:SH.STA.ORTH:ARM,1997-12-31,33.0
WDI:SH.STA.ORTH:ARM,2000-12-31,33.0
WDI:SH.STA.ORTH:ARM,2005-12-31,24.9
WDI:SH.STA.ORTH:ARM,2010-12-31,33.0
WDI:SH.STA.ORTH:ARM,2016-12-31,36.9
WDI:SH.STA.ORTH:AZE,2000-12-31,10.1
WDI:SH.STA.ORTH:AZE,2006-12-31,21.1
WDI:SH.STA.ORTH:AZE,2011-12-31,11.1
